sku,product_name,category,price,inventory_count,supplier_id,last_updated
SKU-00050,Smart Monitor 49,Tools,473.73,91,SUP-0018,2025-03-12
SKU-00051,Vintage Ball 50,Sports,162.58,459,SUP-0014,2025-12-13
SKU-00052,Professional Novel 51,Books,510.42,133,SUP-0004,2025-06-30
SKU-00053,Modern Robot 52,Electronics,104.8,267,SUP-0015,2025-11-19
SKU-00054,Premium Robot 53,Tools,714.43,334,SUP-0005,2025-01-15
SKU-00055,Vintage Novel 54,,867.08,179,SUP-0018,2026-02-06
SKU-00056,Classic Serum 55,Food,561.85,123,SUP-0025,2025-06-30
SKU-00057,Classic Shirt 56,Food,966.85,134,SUP-0019,2025-05-11
SKU-00058,Classic Vitamin 57,Electronics,899.93,153,SUP-0015,2025-12-13
SKU-00059,Modern Lamp 58,Toys,745.92,63,SUP-0002,2025-08-19
SKU-00060,Eco-Friendly Vitamin 59,Home & Garden,-258.65,244,SUP-0008,2025-09-05
SKU-00061,Deluxe Cereal 60,Clothing,491.27,264,SUP-0011,2025-08-19
SKU-00062,Wireless Drill 61,,-176.13,99,SUP-0009,2025-10-15
SKU-00063,Modern Novel 62,,379.79,159,SUP-0004,2025-02-18
SKU-00064,Portable Drill 63,Toys,62.47,318,SUP-0002,2025-07-03
SKU-00065,Premium Novel 64,,785.79,144,SUP-0022,2026-01-29
SKU-00066,Smart Serum 65,Beauty,430.5,220,SUP-0003,2025-05-29
SKU-00067,Eco-Friendly Novel 66,Beauty,510.15,431,SUP-0003,2025-01-22
SKU-00068,Smart Shirt 67,Clothing,695.3,497,SUP-0006,2025-08-10
SKU-00069,Eco-Friendly Robot 68,Tools,982.14,465,SUP-0019,2025-11-08
SKU-00070,Vintage Vitamin 69,,958.39,256,SUP-0007,2026-02-08
SKU-00071,Classic Ball 70,Health,197.89,81,SUP-0018,2025-01-11
SKU-00072,Eco-Friendly Monitor 71,Food,7.74,306,SUP-0007,2025-04-18
SKU-00073,Professional Lamp 72,Beauty,212.61,292,SUP-0013,2025-01-04
SKU-00074,Wireless Drill 73,Toys,898.16,478,SUP-0009,2025-05-23
SKU-00075,Vintage Drill 74,Clothing,385.84,239,SUP-0011,2026-01-10
SKU-00076,Professional Vitamin 75,,853.07,206,SUP-0001,2025-05-24
SKU-00077,Modern Novel 76,Toys,519.45,480,SUP-0010,2025-09-27
SKU-00078,Eco-Friendly Vitamin 77,Books,25.7,494,SUP-0025,2026-02-10
SKU-00079,Smart Lamp 78,Clothing,664.67,95,SUP-0020,2026-02-12
SKU-00080,Professional Monitor 79,Clothing,969.38,469,SUP-0015,2025-05-24
SKU-00081,Deluxe Vitamin 80,Sports,974.49,188,SUP-0020,2025-09-17
SKU-00082,Smart Robot 81,Electronics,312.14,386,SUP-0004,2025-04-21
SKU-00083,Professional Robot 82,Beauty,678.02,93,SUP-0002,2025-01-11
SKU-00084,Smart Vitamin 83,Electronics,705.63,227,SUP-0016,2025-04-20
SKU-00085,Modern Monitor 84,Health,61.3,382,SUP-0019,2025-06-04
SKU-00086,Vintage Shirt 85,Food,25.07,24,SUP-0007,2025-09-02
SKU-00087,Modern Monitor 86,Electronics,954.01,263,SUP-0008,2025-08-02
SKU-00088,Eco-Friendly Shirt 87,Food,482.35,175,SUP-0020,2025-11-04
SKU-00089,Wireless Monitor 88,Sports,973.7,341,SUP-0001,2025-01-12
SKU-00090,Vintage Shirt 89,Clothing,44.07,96,SUP-0009,2025-02-17
SKU-00091,Classic Ball 90,Sports,978.02,129,SUP-0025,2025-11-25
SKU-00092,Deluxe Novel 91,Food,555.96,119,SUP-0018,2025-05-20
SKU-00093,Classic Monitor 92,Food,244.65,299,SUP-0002,2026-02-02
SKU-00094,Premium Cereal 93,Beauty,497.27,158,SUP-0014,2025-03-15
SKU-00095,Wireless Serum 94,Home & Garden,200.69,136,SUP-0023,2025-05-03
SKU-00096,Deluxe Monitor 95,Health,8.12,479,SUP-0003,2025-06-18
SKU-00097,Wireless Lamp 96,Clothing,305.51,485,SUP-0010,2025-05-29
SKU-00098,Smart Novel 97,Health,125.46,319,SUP-0018,2025-02-13
SKU-00099,Premium Shirt 98,Sports,520.97,412,SUP-0011,2026-01-02
SKU-00100,Vintage Drill 99,Food,447.25,32,SUP-0020,2025-08-16
SKU-00101,Smart Vitamin 100,Clothing,142.0,108,SUP-0025,2025-11-13
SKU-00102,Classic Serum 101,Home & Garden,766.69,194,SUP-0008,2025-06-18
SKU-00103,Eco-Friendly Vitamin 102,Beauty,574.07,412,SUP-0015,2025-08-23
SKU-00104,Vintage Drill 103,Toys,534.34,47,SUP-0015,2025-05-02
SKU-00105,Wireless Serum 104,Beauty,693.38,245,SUP-0021,2025-10-05
SKU-00106,Wireless Vitamin 105,Beauty,293.13,410,SUP-0015,2026-02-02
SKU-00107,Wireless Cereal 106,Home & Garden,770.12,56,SUP-0019,2026-02-08
SKU-00108,Vintage Vitamin 107,Books,787.89,73,SUP-0011,2025-08-15
SKU-00109,Deluxe Cereal 108,Tools,930.31,323,SUP-0014,2025-03-14
SKU-00110,Vintage Ball 109,Health,91.94,313,SUP-0006,2025-10-31
SKU-00111,Eco-Friendly Monitor 110,Sports,637.48,-23,SUP-0001,2026-01-28
SKU-00112,Smart Lamp 111,Beauty,108.98,243,SUP-0023,2025-01-22
SKU-00113,Vintage Robot 112,Health,20.7,186,SUP-0021,2025-02-26
SKU-00114,Eco-Friendly Drill 113,Sports,701.57,223,SUP-0021,2026-01-06
SKU-00115,Deluxe Vitamin 114,,596.5,245,SUP-0025,2025-04-28
SKU-00116,Classic Ball 115,Food,672.98,86,SUP-0009,2025-06-02
SKU-00117,Eco-Friendly Robot 116,Health,864.53,3,SUP-0021,2025-03-16
SKU-00118,Vintage Shirt 117,Books,895.89,192,SUP-0020,2025-04-12
SKU-00119,Professional Robot 118,Toys,378.81,25,SUP-0019,2026-01-30
SKU-00120,Smart Drill 119,Food,638.56,195,SUP-0014,2025-02-25
SKU-00121,Portable Shirt 120,Health,504.84,272,SUP-0024,2026-01-01
SKU-00122,Portable Serum 121,Tools,471.77,349,SUP-0009,2025-04-06
SKU-00123,Smart Ball 122,Tools,125.47,222,SUP-0009,2025-10-21
SKU-00124,Deluxe Vitamin 123,Beauty,171.29,37,SUP-0008,2025-04-07
SKU-00125,Vintage Shirt 124,Beauty,592.86,472,SUP-0023,2025-08-18
SKU-00126,Deluxe Ball 125,Electronics,661.43,22,SUP-0016,2026-02-02
SKU-00127,Vintage Robot 126,Health,978.84,345,SUP-0020,2025-10-02
SKU-00128,Modern Drill 127,Toys,798.22,359,SUP-0002,2025-08-28
SKU-00129,Professional Novel 128,,-41.89,365,SUP-0010,2025-09-17
SKU-00130,Wireless Lamp 129,Beauty,932.94,345,SUP-0019,2025-02-04
SKU-00131,Deluxe Shirt 130,Tools,923.47,88,SUP-0001,2025-03-19
SKU-00132,Modern Vitamin 131,Food,182.44,78,SUP-0002,2025-08-17
SKU-00133,Eco-Friendly Cereal 132,Health,279.01,128,SUP-0024,2025-12-31
SKU-00134,Vintage Ball 133,Toys,990.18,16,SUP-0006,2025-09-14
SKU-00135,Vintage Drill 134,Tools,29.46,135,SUP-0006,2025-06-22
SKU-00136,Smart Serum 135,Food,416.01,203,SUP-0004,2025-08-13
SKU-00137,Vintage Vitamin 136,Home & Garden,626.6,160,SUP-0005,2025-05-02
SKU-00138,Professional Monitor 137,Toys,943.58,447,SUP-0010,2025-02-05
SKU-00139,Classic Monitor 138,Books,143.73,282,SUP-0025,2025-07-11
SKU-00140,Eco-Friendly Novel 139,Books,795.81,438,SUP-0018,2025-09-25
SKU-00141,Classic Drill 140,,690.45,103,SUP-0012,2025-04-05
SKU-00142,Deluxe Novel 141,Toys,365.29,94,SUP-0020,2025-08-19
SKU-00143,Premium Cereal 142,Toys,937.87,363,SUP-0025,2026-01-29
SKU-00144,Smart Monitor 143,Toys,464.49,9,SUP-0009,2025-11-21
SKU-00145,Eco-Friendly Serum 144,,540.59,245,SUP-0010,2025-11-26
SKU-00146,Professional Robot 145,Electronics,362.52,229,SUP-0015,2025-07-08
SKU-00147,Portable Cereal 146,Health,716.55,80,SUP-0015,2025-09-24
SKU-00148,Deluxe Ball 147,Health,334.64,220,SUP-0024,2025-04-26
SKU-00149,Wireless Lamp 148,,998.01,250,SUP-0005,2025-12-11
SKU-00150,Smart Robot 149,Tools,969.82,156,SUP-0022,2025-09-02
SKU-00151,Modern Cereal 150,Food,965.03,500,SUP-0024,2026-01-23
SKU-00152,Modern Monitor 151,Tools,776.29,439,SUP-0002,2025-11-03
SKU-00153,Vintage Monitor 152,Toys,654.22,232,SUP-0008,2025-02-11
SKU-00154,Portable Lamp 153,Electronics,294.95,-37,SUP-0005,2025-09-23
SKU-00155,Modern Robot 154,Books,579.0,265,SUP-0002,2025-07-25
SKU-00156,Modern Lamp 155,Sports,738.46,333,SUP-0001,2025-12-06
SKU-00157,Classic Vitamin 156,,619.12,22,SUP-0022,2026-01-24
SKU-00158,Portable Shirt 157,Books,931.98,222,SUP-0010,2025-11-30
SKU-00159,Vintage Novel 158,Beauty,228.96,31,SUP-0009,2025-06-03
SKU-00160,Deluxe Ball 159,Beauty,795.27,287,SUP-0016,2025-10-30
SKU-00161,Eco-Friendly Novel 160,Home & Garden,518.16,238,SUP-0021,2025-07-12
SKU-00162,Professional Monitor 161,Books,96.43,280,SUP-0004,2025-04-05
SKU-00163,Portable Vitamin 162,,49.42,105,SUP-0025,2025-09-26
SKU-00164,Vintage Cereal 163,Toys,846.21,332,SUP-0008,2025-04-21
SKU-00165,Vintage Novel 164,Tools,746.77,58,SUP-0008,2025-06-22
SKU-00166,Portable Ball 165,Home & Garden,906.53,458,SUP-0008,2025-09-16
SKU-00167,Professional Novel 166,Tools,351.46,41,SUP-0013,2025-02-01
SKU-00168,Classic Shirt 167,Clothing,178.33,441,SUP-0023,2026-02-07
SKU-00169,Eco-Friendly Lamp 168,Food,38.72,133,SUP-0020,2025-06-11
SKU-00170,Premium Serum 169,Home & Garden,749.5,46,SUP-0015,2025-03-06
SKU-00171,Premium Ball 170,Books,404.32,205,SUP-0021,2025-08-08
SKU-00172,Deluxe Vitamin 171,Sports,620.89,402,SUP-0017,2025-12-16
SKU-00173,Smart Ball 172,Tools,-337.1,12,SUP-0002,2026-01-28
SKU-00174,Classic Serum 173,Electronics,112.92,80,SUP-0024,2025-02-06
SKU-00175,Wireless Serum 174,Electronics,826.1,68,SUP-0022,2025-06-18
SKU-00176,Eco-Friendly Shirt 175,Electronics,910.33,370,SUP-0014,2025-01-10
SKU-00177,Wireless Ball 176,Toys,618.3,110,SUP-0012,2025-05-27
SKU-00178,Wireless Shirt 177,Books,742.25,171,SUP-0013,2025-02-07
SKU-00179,Vintage Robot 178,Electronics,909.12,112,SUP-0017,2025-06-02
SKU-00180,Wireless Ball 179,Sports,868.35,7,SUP-0019,2026-01-15
SKU-00181,Smart Cereal 180,Sports,382.55,409,SUP-0005,2025-08-06
SKU-00182,Vintage Cereal 181,,401.48,172,SUP-0006,2025-11-30
SKU-00183,Classic Monitor 182,Beauty,911.29,271,SUP-0016,2025-07-10
SKU-00184,Smart Monitor 183,Food,595.16,236,SUP-0024,2025-04-28
SKU-00185,Eco-Friendly Drill 184,Home & Garden,83.73,61,SUP-0017,2025-04-12
SKU-00186,Portable Monitor 185,Food,290.76,453,SUP-0001,2026-02-05
SKU-00187,Premium Cereal 186,Toys,553.98,180,SUP-0014,2026-01-28
SKU-00188,Deluxe Robot 187,Home & Garden,213.83,492,SUP-0004,2026-01-26
SKU-00189,Premium Lamp 188,Health,879.03,291,SUP-0007,2025-03-21
SKU-00190,Premium Drill 189,Electronics,219.95,469,SUP-0008,2025-10-30
SKU-00132,Premium Shirt 190,Food,-171.18,311,SUP-0005,2025-10-17
SKU-00149,Smart Lamp 191,,256.23,409,SUP-0017,2026-01-14
SKU-00126,Eco-Friendly Ball 192,Health,391.45,318,SUP-0020,2025-01-22
SKU-00159,Deluxe Novel 193,Home & Garden,769.79,209,SUP-0013,2025-12-04
SKU-00186,Portable Vitamin 194,Health,813.31,93,SUP-0022,2025-12-13
SKU-00149,Wireless Cereal 195,Beauty,533.0,114,SUP-0010,2025-03-16
SKU-00154,Smart Cereal 196,Electronics,750.73,120,SUP-0013,2025-08-21
SKU-00102,Smart Novel 197,Tools,609.96,89,SUP-0004,2025-12-21
SKU-00087,Wireless Novel 198,Health,510.77,60,SUP-0018,2025-03-30
SKU-00128,Wireless Novel 199,Tools,395.59,414,SUP-0014,2025-09-01
